index,name,lr,wd,dim,emb,batch
133,c133_lr0p0003_wd1em06_dim256_emb256_batch1024_seed0,0.0003,1e-06,256,256,1024
134,c134_lr0p0003_wd1em06_dim256_emb256_batch2048_seed0,0.0003,1e-06,256,256,2048
135,c135_lr0p0003_wd1em05_dim64_emb64_batch512_seed0,0.0003,1e-05,64,64,512
136,c136_lr0p0003_wd1em05_dim64_emb64_batch1024_seed0,0.0003,1e-05,64,64,1024
137,c137_lr0p0003_wd1em05_dim64_emb64_batch2048_seed0,0.0003,1e-05,64,64,2048
138,c138_lr0p0003_wd1em05_dim64_emb128_batch512_seed0,0.0003,1e-05,64,128,512
139,c139_lr0p0003_wd1em05_dim64_emb128_batch1024_seed0,0.0003,1e-05,64,128,1024
140,c140_lr0p0003_wd1em05_dim64_emb128_batch2048_seed0,0.0003,1e-05,64,128,2048
141,c141_lr0p0003_wd1em05_dim64_emb256_batch512_seed0,0.0003,1e-05,64,256,512
142,c142_lr0p0003_wd1em05_dim64_emb256_batch1024_seed0,0.0003,1e-05,64,256,1024
143,c143_lr0p0003_wd1em05_dim64_emb256_batch2048_seed0,0.0003,1e-05,64,256,2048
144,c144_lr0p0003_wd1em05_dim128_emb64_batch512_seed0,0.0003,1e-05,128,64,512
145,c145_lr0p0003_wd1em05_dim128_emb64_batch1024_seed0,0.0003,1e-05,128,64,1024
146,c146_lr0p0003_wd1em05_dim128_emb64_batch2048_seed0,0.0003,1e-05,128,64,2048
147,c147_lr0p0003_wd1em05_dim128_emb128_batch512_seed0,0.0003,1e-05,128,128,512
148,c148_lr0p0003_wd1em05_dim128_emb128_batch1024_seed0,0.0003,1e-05,128,128,1024
149,c149_lr0p0003_wd1em05_dim128_emb128_batch2048_seed0,0.0003,1e-05,128,128,2048
150,c150_lr0p0003_wd1em05_dim128_emb256_batch512_seed0,0.0003,1e-05,128,256,512
151,c151_lr0p0003_wd1em05_dim128_emb256_batch1024_seed0,0.0003,1e-05,128,256,1024
152,c152_lr0p0003_wd1em05_dim128_emb256_batch2048_seed0,0.0003,1e-05,128,256,2048
153,c153_lr0p0003_wd1em05_dim256_emb64_batch512_seed0,0.0003,1e-05,256,64,512
154,c154_lr0p0003_wd1em05_dim256_emb64_batch1024_seed0,0.0003,1e-05,256,64,1024
155,c155_lr0p0003_wd1em05_dim256_emb64_batch2048_seed0,0.0003,1e-05,256,64,2048
156,c156_lr0p0003_wd1em05_dim256_emb128_batch512_seed0,0.0003,1e-05,256,128,512
157,c157_lr0p0003_wd1em05_dim256_emb128_batch1024_seed0,0.0003,1e-05,256,128,1024
158,c158_lr0p0003_wd1em05_dim256_emb128_batch2048_seed0,0.0003,1e-05,256,128,2048
159,c159_lr0p0003_wd1em05_dim256_emb256_batch512_seed0,0.0003,1e-05,256,256,512
160,c160_lr0p0003_wd1em05_dim256_emb256_batch1024_seed0,0.0003,1e-05,256,256,1024
161,c161_lr0p0003_wd1em05_dim256_emb256_batch2048_seed0,0.0003,1e-05,256,256,2048
162,c162_lr0p001_wd0_dim64_emb64_batch512_seed0,0.001,0.0,64,64,512
163,c163_lr0p001_wd0_dim64_emb64_batch1024_seed0,0.001,0.0,64,64,1024
164,c164_lr0p001_wd0_dim64_emb64_batch2048_seed0,0.001,0.0,64,64,2048
165,c165_lr0p001_wd0_dim64_emb128_batch512_seed0,0.001,0.0,64,128,512
166,c166_lr0p001_wd0_dim64_emb128_batch1024_seed0,0.001,0.0,64,128,1024
167,c167_lr0p001_wd0_dim64_emb128_batch2048_seed0,0.001,0.0,64,128,2048
168,c168_lr0p001_wd0_dim64_emb256_batch512_seed0,0.001,0.0,64,256,512
169,c169_lr0p001_wd0_dim64_emb256_batch1024_seed0,0.001,0.0,64,256,1024
170,c170_lr0p001_wd0_dim64_emb256_batch2048_seed0,0.001,0.0,64,256,2048
171,c171_lr0p001_wd0_dim128_emb64_batch512_seed0,0.001,0.0,128,64,512
172,c172_lr0p001_wd0_dim128_emb64_batch1024_seed0,0.001,0.0,128,64,1024
173,c173_lr0p001_wd0_dim128_emb64_batch2048_seed0,0.001,0.0,128,64,2048
174,c174_lr0p001_wd0_dim128_emb128_batch512_seed0,0.001,0.0,128,128,512
175,c175_lr0p001_wd0_dim128_emb128_batch1024_seed0,0.001,0.0,128,128,1024
176,c176_lr0p001_wd0_dim128_emb128_batch2048_seed0,0.001,0.0,128,128,2048
177,c177_lr0p001_wd0_dim128_emb256_batch512_seed0,0.001,0.0,128,256,512
178,c178_lr0p001_wd0_dim128_emb256_batch1024_seed0,0.001,0.0,128,256,1024
179,c179_lr0p001_wd0_dim128_emb256_batch2048_seed0,0.001,0.0,128,256,2048
180,c180_lr0p001_wd0_dim256_emb64_batch512_seed0,0.001,0.0,256,64,512
181,c181_lr0p001_wd0_dim256_emb64_batch1024_seed0,0.001,0.0,256,64,1024
182,c182_lr0p001_wd0_dim256_emb64_batch2048_seed0,0.001,0.0,256,64,2048
183,c183_lr0p001_wd0_dim256_emb128_batch512_seed0,0.001,0.0,256,128,512
184,c184_lr0p001_wd0_dim256_emb128_batch1024_seed0,0.001,0.0,256,128,1024
185,c185_lr0p001_wd0_dim256_emb128_batch2048_seed0,0.001,0.0,256,128,2048
186,c186_lr0p001_wd0_dim256_emb256_batch512_seed0,0.001,0.0,256,256,512
187,c187_lr0p001_wd0_dim256_emb256_batch1024_seed0,0.001,0.0,256,256,1024
188,c188_lr0p001_wd0_dim256_emb256_batch2048_seed0,0.001,0.0,256,256,2048
