index,name,win,lr,wd,dim,mask
119,c119_win2m_lr0p001_wd0p0005_dim32_mask0p7_seed0,2m,0.001,0.0005,32,0.7
120,c120_win2m_lr0p001_wd0p0005_dim64_mask0p3_seed0,2m,0.001,0.0005,64,0.3
121,c121_win2m_lr0p001_wd0p0005_dim64_mask0p5_seed0,2m,0.001,0.0005,64,0.5
122,c122_win2m_lr0p001_wd0p0005_dim64_mask0p7_seed0,2m,0.001,0.0005,64,0.7
123,c123_win2m_lr0p001_wd0p0005_dim128_mask0p3_seed0,2m,0.001,0.0005,128,0.3
124,c124_win2m_lr0p001_wd0p0005_dim128_mask0p5_seed0,2m,0.001,0.0005,128,0.5
125,c125_win2m_lr0p001_wd0p0005_dim128_mask0p7_seed0,2m,0.001,0.0005,128,0.7
126,c126_win2m_lr0p001_wd0p001_dim32_mask0p3_seed0,2m,0.001,0.001,32,0.3
127,c127_win2m_lr0p001_wd0p001_dim32_mask0p5_seed0,2m,0.001,0.001,32,0.5
128,c128_win2m_lr0p001_wd0p001_dim32_mask0p7_seed0,2m,0.001,0.001,32,0.7
129,c129_win2m_lr0p001_wd0p001_dim64_mask0p3_seed0,2m,0.001,0.001,64,0.3
130,c130_win2m_lr0p001_wd0p001_dim64_mask0p5_seed0,2m,0.001,0.001,64,0.5
131,c131_win2m_lr0p001_wd0p001_dim64_mask0p7_seed0,2m,0.001,0.001,64,0.7
132,c132_win2m_lr0p001_wd0p001_dim128_mask0p3_seed0,2m,0.001,0.001,128,0.3
133,c133_win2m_lr0p001_wd0p001_dim128_mask0p5_seed0,2m,0.001,0.001,128,0.5
134,c134_win2m_lr0p001_wd0p001_dim128_mask0p7_seed0,2m,0.001,0.001,128,0.7
135,c135_win2m_lr0p003_wd0p0001_dim32_mask0p3_seed0,2m,0.003,0.0001,32,0.3
136,c136_win2m_lr0p003_wd0p0001_dim32_mask0p5_seed0,2m,0.003,0.0001,32,0.5
137,c137_win2m_lr0p003_wd0p0001_dim32_mask0p7_seed0,2m,0.003,0.0001,32,0.7
138,c138_win2m_lr0p003_wd0p0001_dim64_mask0p3_seed0,2m,0.003,0.0001,64,0.3
139,c139_win2m_lr0p003_wd0p0001_dim64_mask0p5_seed0,2m,0.003,0.0001,64,0.5
140,c140_win2m_lr0p003_wd0p0001_dim64_mask0p7_seed0,2m,0.003,0.0001,64,0.7
141,c141_win2m_lr0p003_wd0p0001_dim128_mask0p3_seed0,2m,0.003,0.0001,128,0.3
142,c142_win2m_lr0p003_wd0p0001_dim128_mask0p5_seed0,2m,0.003,0.0001,128,0.5
143,c143_win2m_lr0p003_wd0p0001_dim128_mask0p7_seed0,2m,0.003,0.0001,128,0.7
144,c144_win2m_lr0p003_wd0p0005_dim32_mask0p3_seed0,2m,0.003,0.0005,32,0.3
145,c145_win2m_lr0p003_wd0p0005_dim32_mask0p5_seed0,2m,0.003,0.0005,32,0.5
146,c146_win2m_lr0p003_wd0p0005_dim32_mask0p7_seed0,2m,0.003,0.0005,32,0.7
147,c147_win2m_lr0p003_wd0p0005_dim64_mask0p3_seed0,2m,0.003,0.0005,64,0.3
148,c148_win2m_lr0p003_wd0p0005_dim64_mask0p5_seed0,2m,0.003,0.0005,64,0.5
149,c149_win2m_lr0p003_wd0p0005_dim64_mask0p7_seed0,2m,0.003,0.0005,64,0.7
150,c150_win2m_lr0p003_wd0p0005_dim128_mask0p3_seed0,2m,0.003,0.0005,128,0.3
151,c151_win2m_lr0p003_wd0p0005_dim128_mask0p5_seed0,2m,0.003,0.0005,128,0.5
152,c152_win2m_lr0p003_wd0p0005_dim128_mask0p7_seed0,2m,0.003,0.0005,128,0.7
153,c153_win2m_lr0p003_wd0p001_dim32_mask0p3_seed0,2m,0.003,0.001,32,0.3
154,c154_win2m_lr0p003_wd0p001_dim32_mask0p5_seed0,2m,0.003,0.001,32,0.5
155,c155_win2m_lr0p003_wd0p001_dim32_mask0p7_seed0,2m,0.003,0.001,32,0.7
156,c156_win2m_lr0p003_wd0p001_dim64_mask0p3_seed0,2m,0.003,0.001,64,0.3
157,c157_win2m_lr0p003_wd0p001_dim64_mask0p5_seed0,2m,0.003,0.001,64,0.5
158,c158_win2m_lr0p003_wd0p001_dim64_mask0p7_seed0,2m,0.003,0.001,64,0.7
159,c159_win2m_lr0p003_wd0p001_dim128_mask0p3_seed0,2m,0.003,0.001,128,0.3
160,c160_win2m_lr0p003_wd0p001_dim128_mask0p5_seed0,2m,0.003,0.001,128,0.5
161,c161_win2m_lr0p003_wd0p001_dim128_mask0p7_seed0,2m,0.003,0.001,128,0.7
162,c162_win4m_lr0p0003_wd0p0001_dim32_mask0p3_seed0,4m,0.0003,0.0001,32,0.3
163,c163_win4m_lr0p0003_wd0p0001_dim32_mask0p5_seed0,4m,0.0003,0.0001,32,0.5
164,c164_win4m_lr0p0003_wd0p0001_dim32_mask0p7_seed0,4m,0.0003,0.0001,32,0.7
