index,name,lr,wd,cap,batch,neigh
126,c126_lr3em05_wd1em06_caplarge_batch512_neigh10_seed0,3e-05,1e-06,large,512,10
127,c127_lr3em05_wd1em06_caplarge_batch512_neigh20_seed0,3e-05,1e-06,large,512,20
128,c128_lr3em05_wd1em06_caplarge_batch512_neigh50_seed0,3e-05,1e-06,large,512,50
129,c129_lr3em05_wd1em06_caplarge_batch1024_neigh10_seed0,3e-05,1e-06,large,1024,10
130,c130_lr3em05_wd1em06_caplarge_batch1024_neigh20_seed0,3e-05,1e-06,large,1024,20
131,c131_lr3em05_wd1em06_caplarge_batch1024_neigh50_seed0,3e-05,1e-06,large,1024,50
132,c132_lr3em05_wd1em06_caplarge_batch2048_neigh10_seed0,3e-05,1e-06,large,2048,10
133,c133_lr3em05_wd1em06_caplarge_batch2048_neigh20_seed0,3e-05,1e-06,large,2048,20
134,c134_lr3em05_wd1em06_caplarge_batch2048_neigh50_seed0,3e-05,1e-06,large,2048,50
135,c135_lr3em05_wd1em05_capdefault_batch512_neigh10_seed0,3e-05,1e-05,default,512,10
136,c136_lr3em05_wd1em05_capdefault_batch512_neigh20_seed0,3e-05,1e-05,default,512,20
137,c137_lr3em05_wd1em05_capdefault_batch512_neigh50_seed0,3e-05,1e-05,default,512,50
138,c138_lr3em05_wd1em05_capdefault_batch1024_neigh10_seed0,3e-05,1e-05,default,1024,10
139,c139_lr3em05_wd1em05_capdefault_batch1024_neigh20_seed0,3e-05,1e-05,default,1024,20
140,c140_lr3em05_wd1em05_capdefault_batch1024_neigh50_seed0,3e-05,1e-05,default,1024,50
141,c141_lr3em05_wd1em05_capdefault_batch2048_neigh10_seed0,3e-05,1e-05,default,2048,10
142,c142_lr3em05_wd1em05_capdefault_batch2048_neigh20_seed0,3e-05,1e-05,default,2048,20
143,c143_lr3em05_wd1em05_capdefault_batch2048_neigh50_seed0,3e-05,1e-05,default,2048,50
144,c144_lr3em05_wd1em05_capmedium_batch512_neigh10_seed0,3e-05,1e-05,medium,512,10
145,c145_lr3em05_wd1em05_capmedium_batch512_neigh20_seed0,3e-05,1e-05,medium,512,20
146,c146_lr3em05_wd1em05_capmedium_batch512_neigh50_seed0,3e-05,1e-05,medium,512,50
147,c147_lr3em05_wd1em05_capmedium_batch1024_neigh10_seed0,3e-05,1e-05,medium,1024,10
148,c148_lr3em05_wd1em05_capmedium_batch1024_neigh20_seed0,3e-05,1e-05,medium,1024,20
149,c149_lr3em05_wd1em05_capmedium_batch1024_neigh50_seed0,3e-05,1e-05,medium,1024,50
150,c150_lr3em05_wd1em05_capmedium_batch2048_neigh10_seed0,3e-05,1e-05,medium,2048,10
151,c151_lr3em05_wd1em05_capmedium_batch2048_neigh20_seed0,3e-05,1e-05,medium,2048,20
152,c152_lr3em05_wd1em05_capmedium_batch2048_neigh50_seed0,3e-05,1e-05,medium,2048,50
153,c153_lr3em05_wd1em05_caplarge_batch512_neigh10_seed0,3e-05,1e-05,large,512,10
154,c154_lr3em05_wd1em05_caplarge_batch512_neigh20_seed0,3e-05,1e-05,large,512,20
155,c155_lr3em05_wd1em05_caplarge_batch512_neigh50_seed0,3e-05,1e-05,large,512,50
156,c156_lr3em05_wd1em05_caplarge_batch1024_neigh10_seed0,3e-05,1e-05,large,1024,10
157,c157_lr3em05_wd1em05_caplarge_batch1024_neigh20_seed0,3e-05,1e-05,large,1024,20
158,c158_lr3em05_wd1em05_caplarge_batch1024_neigh50_seed0,3e-05,1e-05,large,1024,50
159,c159_lr3em05_wd1em05_caplarge_batch2048_neigh10_seed0,3e-05,1e-05,large,2048,10
160,c160_lr3em05_wd1em05_caplarge_batch2048_neigh20_seed0,3e-05,1e-05,large,2048,20
