index,name,lr,wd,cap,batch,neigh
211,c211_lr0p0001_wd0p01_caplarge_batch1024_neigh20_seed0,0.0001,0.01,large,1024,20
212,c212_lr0p0001_wd0p01_caplarge_batch1024_neigh50_seed0,0.0001,0.01,large,1024,50
213,c213_lr0p0001_wd0p01_caplarge_batch2048_neigh10_seed0,0.0001,0.01,large,2048,10
214,c214_lr0p0001_wd0p01_caplarge_batch2048_neigh20_seed0,0.0001,0.01,large,2048,20
215,c215_lr0p0001_wd0p01_caplarge_batch2048_neigh50_seed0,0.0001,0.01,large,2048,50
216,c216_lr0p0001_wd0p1_capsmall_batch512_neigh10_seed0,0.0001,0.1,small,512,10
217,c217_lr0p0001_wd0p1_capsmall_batch512_neigh20_seed0,0.0001,0.1,small,512,20
218,c218_lr0p0001_wd0p1_capsmall_batch512_neigh50_seed0,0.0001,0.1,small,512,50
219,c219_lr0p0001_wd0p1_capsmall_batch1024_neigh10_seed0,0.0001,0.1,small,1024,10
220,c220_lr0p0001_wd0p1_capsmall_batch1024_neigh20_seed0,0.0001,0.1,small,1024,20
221,c221_lr0p0001_wd0p1_capsmall_batch1024_neigh50_seed0,0.0001,0.1,small,1024,50
222,c222_lr0p0001_wd0p1_capsmall_batch2048_neigh10_seed0,0.0001,0.1,small,2048,10
223,c223_lr0p0001_wd0p1_capsmall_batch2048_neigh20_seed0,0.0001,0.1,small,2048,20
224,c224_lr0p0001_wd0p1_capsmall_batch2048_neigh50_seed0,0.0001,0.1,small,2048,50
225,c225_lr0p0001_wd0p1_capdefault_batch512_neigh10_seed0,0.0001,0.1,default,512,10
226,c226_lr0p0001_wd0p1_capdefault_batch512_neigh20_seed0,0.0001,0.1,default,512,20
227,c227_lr0p0001_wd0p1_capdefault_batch512_neigh50_seed0,0.0001,0.1,default,512,50
228,c228_lr0p0001_wd0p1_capdefault_batch1024_neigh10_seed0,0.0001,0.1,default,1024,10
229,c229_lr0p0001_wd0p1_capdefault_batch1024_neigh20_seed0,0.0001,0.1,default,1024,20
230,c230_lr0p0001_wd0p1_capdefault_batch1024_neigh50_seed0,0.0001,0.1,default,1024,50
231,c231_lr0p0001_wd0p1_capdefault_batch2048_neigh10_seed0,0.0001,0.1,default,2048,10
232,c232_lr0p0001_wd0p1_capdefault_batch2048_neigh20_seed0,0.0001,0.1,default,2048,20
233,c233_lr0p0001_wd0p1_capdefault_batch2048_neigh50_seed0,0.0001,0.1,default,2048,50
234,c234_lr0p0001_wd0p1_caplarge_batch512_neigh10_seed0,0.0001,0.1,large,512,10
235,c235_lr0p0001_wd0p1_caplarge_batch512_neigh20_seed0,0.0001,0.1,large,512,20
236,c236_lr0p0001_wd0p1_caplarge_batch512_neigh50_seed0,0.0001,0.1,large,512,50
237,c237_lr0p0001_wd0p1_caplarge_batch1024_neigh10_seed0,0.0001,0.1,large,1024,10
238,c238_lr0p0001_wd0p1_caplarge_batch1024_neigh20_seed0,0.0001,0.1,large,1024,20
239,c239_lr0p0001_wd0p1_caplarge_batch1024_neigh50_seed0,0.0001,0.1,large,1024,50
240,c240_lr0p0001_wd0p1_caplarge_batch2048_neigh10_seed0,0.0001,0.1,large,2048,10
241,c241_lr0p0001_wd0p1_caplarge_batch2048_neigh20_seed0,0.0001,0.1,large,2048,20
242,c242_lr0p0001_wd0p1_caplarge_batch2048_neigh50_seed0,0.0001,0.1,large,2048,50
